Kreisschluessel;Nettobedarf;Bruttobedarf;AngerechnetesEinkommen
161;457;820;437
162;595;938;450
163;469;851;445
171;433;781;433
172;456;807;433
173;495;865;473
174;578;877;409
175;513;879;469
176;440;741;414
177;475;842;457
178;473;845;447
179;520;898;481
180;468;845;465
181;500;831;434
182;502;874;478
183;521;835;446
184;508;909;501
185;445;783;422
186;486;815;423
187;496;858;477
188;561;914;448
189;460;811;438
190;476;821;429
261;474;791;403
262;463;771;396
263;507;763;356
271;427;746;393
272;389;688;416
273;439;745;370
274;463;743;344
275;424;721;381
276;466;717;337
277;424;725;381
278;442;703;319
279;422;714;365
361;422;713;364
362;506;823;399
363;443;746;399
371;509;757;362
372;445;739;403
373;484;776;389
374;453;721;363
375;441;740;372
376;498;754;373
377;418;713;396
461;488;788;413
462;439;744;382
463;431;732;370
464;445;714;375
471;419;708;373
472;426;726;381
473;384;703;376
474;459;752;387
475;421;694;367
476;412;691;359
477;452;759;382
478;445;729;365
479;423;693;347
561;613;841;385
562;546;816;392
563;476;799;396
564;547;808;369
565;424;763;403
571;470;764;397
572;489;779;374
573;429;762;423
574;504;789;375
575;455;766;395
576;480;790;426
577;483;779;395
661;449;785;418
662;441;747;379
663;556;789;329
671;504;755;431
672;450;728;359
673;430;716;349
674;467;730;358
675;462;717;358
676;426;734;381
677;475;742;373
678;470;726;363
679;486;757;372
761;538;795;366
762;468;763;400
763;476;813;414
764;422;741;383
771;478;759;378
772;478;778;387
773;502;760;354
774;528;799;416
775;455;781;407
776;447;834;486
777;467;758;385
778;486;764;369
779;472;758;366
780;429;800;450
